Индекс,Город,Широта,Долгота,Население
385200,Адыгейск,44.8783715,39.190172,12689
385000,Майкоп,44.6098268,40.1006527,144055
649000,Горно-Алтайск,51.9582681,85.9602957,62861
658125,Алейск,52.4920914,82.7794145,28528
656000,Барнаул,53.3481145,83.7798362,635585
659900,Белокуриха,51.9960534,84.9840343,15072
659300,Бийск,52.5393683,85.2138852,203826
658420,Горняк,50.9979032,81.4643059,13040
659100,Заринск,53.7063495,84.9314703,47035
658480,Змеиногорск,51.1580235,82.1872476,10569
658700,Камень-на-Оби,53.7915454,81.3545173,41787
658041,Новоалтайск,53.4120811,83.9311249,73134
658200,Рубцовск,51.5013075,81.2077729,146386
658820,Славгород,52.9993053,78.6459674,30370
658837,Яровое,52.9251728,78.5729898,18085
676805,Белогорск,50.9212235,128.4738742,68220
675000,Благовещенск,50.2905935,127.5272186,214397
676870,Завитинск,50.1064678,129.4392897,11481
676151,Зея,53.7339151,127.2658079,25042
676770,Райчихинск,49.7941882,129.4112149,20499
676450,Свободный,51.361264,128.1218995,58594
676011,Сковородино,53.9871004,123.943729,9561
676280,Тында,55.1546401,124.7468634,35574
676470,Циолковский,51.7624346,128.121972,6208
676301,Шимановск,52.0052856,127.7006559,19815
163000,Архангельск,64.5392985,40.5170083,348716
165150,Вельск,61.0660057,42.1032858,23885
164110,Каргополь,61.5008762,38.9636415,10148
165650,Коряжма,61.2885993,47.1002315,39629
165300,Котлас,61.2529842,46.6331915,60562
164750,Мезень,65.8398386,44.2531865,3599
164170,Мирный,62.7644267,40.3359976,30259
164900,Новодвинск,64.4136023,40.8208003,40612
164200,Няндома,61.6653735,40.2061699,22354
164840,Онега,63.9163966,38.0805749,21359
164500,Северодвинск,64.56253,39.8182715,192265
165330,Сольвычегодск,61.3318091,46.920351,2460
165160,Шенкурск,62.1057423,42.89959,5702
414000,Астрахань,46.3655808,48.0559979,520662
416500,Ахтубинск,48.2753078,46.1906741,41898
416540,Знаменск,48.5865618,45.7367908,29357
416340,Камызяк,46.1105429,48.0732724,16291
416111,Нариманов,46.6916597,47.8501624,11386
416010,Харабали,47.4089187,47.2524467,18209
452920,Агидель,55.89976,53.9221149,16365
453630,Баймак,52.5912632,58.3111995,17710
452000,Белебей,54.1033832,54.1111878,60183
453500,Белорецк,53.9675927,58.4099562,68804
452450,Бирск,55.4157107,55.5582335,41637
453430,Благовещенск,55.0499592,55.955309,34246
453400,Давлеканово,54.2227617,55.0313419,24040
452320,Дюртюли,55.4848047,54.8524875,31272
453200,Ишимбай,53.4546314,56.043874,66259
453300,Кумертау,52.7565537,55.7969915,62854
453570,Межгорье,54.239683,57.96146,17353
453853,Мелеуз,52.9590637,55.9283483,61408
452680,Нефтекамск,56.0883075,54.2483391,121757
452601,Октябрьский,54.4815344,53.4656611,109379
453250,Салават,53.3616311,55.9245559,156085
453830,Сибай,52.7205811,58.6663303,62732
453100,Стерлитамак,53.6302498,55.9315707,273432
452750,Туймазы,54.5999889,53.6949081,66849
450000,Уфа,54.734853,55.9578647,1062300
453700,Учалы,54.3066965,59.4126559,37771
452800,Янаул,56.2650336,54.9298314,26988
309850,Алексеевка,50.6299932,38.6881776,39026
308000,Белгород,50.5977351,36.5858236,356426
309910,Бирюч,50.6483899,38.4006203,7842
309990,Валуйки,50.2112799,38.0998765,35322
309370,Грайворон,50.4862699,35.6662957,6234
309180,Губкин,51.2836362,37.5347608,88562
309210,Короча,50.8130123,37.1896543,5877
309640,Новый Оскол,50.7635162,37.8774026,19530
309500,Старый Оскол,51.2965991,37.8349849,221163
309070,Строитель,50.7845571,36.4886619,23933
309290,Шебекино,50.4005506,36.8877988,44277
241000,Брянск,53.2420071,34.3652716,415640
242600,Дятьково,53.5958283,34.355092,29438
242700,Жуковка,53.5341219,33.7302166,18269
243600,Злынка,52.4265906,31.7360386,5507
242500,Карачев,53.1297194,34.9887859,19715
243140,Клинцы,52.7529052,32.2339161,62510
243220,Мглин,53.0600644,32.8467217,7916
243020,Новозыбков,52.5371426,31.9356826,40552
243400,Почеп,52.9154724,33.4744608,17933
242440,Севск,52.1484215,34.4918198,7282
241550,Сельцо,53.3738801,34.1059226,17933
243240,Стародуб,52.5851881,32.7603628,19010
243500,Сураж,53.0171239,32.3938351,11640
242220,Трубчевск,52.5791314,33.7660013,15014
243300,Унеча,52.8460665,32.6757071,26196
242610,Фокино,53.4554552,34.4158537,13874
671230,Бабушкин,51.7113066,105.8673633,4542
671160,Гусиноозерск,51.2865751,106.5230732,23280
671950,Закаменск,50.3726774,103.2867452,11249
671840,Кяхта,50.3466291,106.4534938,20013
671700,Северобайкальск,55.6357165,109.3362606,23673
670000,Улан-Удэ,51.8334378,107.5841511,431922
601650,Александров,56.3919652,38.711035,61544
600000,Владимир,56.1281561,40.4082995,348256
601440,Вязники,56.2976528,42.2687311,41252
601480,Гороховец,56.2021059,42.692517,14015
601500,Гусь-Хрустальный,55.6198065,40.6578769,60773
601300,Камешково,56.3488712,40.9955682,13113
601640,Карабаново,56.3133447,38.7034267,14868
601010,Киржач,56.1485263,38.8635035,30044
601900,Ковров,56.3553895,41.3169568,145492
601780,Кольчугино,56.3327616,39.391201,45804
601110,Костерево,55.9336424,39.624822,9136
601570,Курлово,55.4525994,40.6124362,6791
601240,Лакинск,56.0180614,39.9564706,15707
602101,Меленки,55.3387017,41.634124,15208
602205,Муром,55.5632276,42.023006,116078
601140,Петушки,55.9297657,39.4507913,15167
601120,Покров,55.9167118,39.1733641,17762
600910,Радужный,55.9961034,40.3323247,18212
601201,Собинка,55.993798,40.0180034,19482
601670,Струнино,56.3750001,38.583938,14372
601351,Судогда,55.949897,40.8563392,11848
601291,Суздаль,56.4273814,40.4525581,10535
601800,Юрьев-Польский,56.4938067,39.6679311,19588
400000,Волгоград,48.7072005,44.5170207,1021244
404100,Волжский,48.7978483,44.7462417,314436
404002,Дубовка,49.0555342,44.8270813,14345
403790,Жирновск,50.9767561,44.7857694,16890
404500,Калач-на-Дону,48.6887569,43.5306866,26892
403870,Камышин,50.0651261,45.3843816,119924
404350,Котельниково,47.6310808,43.1331198,20441
403801,Котово,50.3205433,44.8031864,24104
404160,Краснослободск,48.7068777,44.5631799,16007
404620,Ленинск,48.6936234,45.1992835,15527
403340,Михайловка,50.0708749,43.2400847,59153
404030,Николаевск,50.0166952,45.4733204,15081
403950,Новоаннинский,50.5296873,42.6666038,17911
404260,Палласовка,50.0501422,46.8803355,15984
403840,Петров Вал,50.1380355,45.2091455,13264
403441,Серафимович,49.566286,42.7360013,9368
404410,Суровикино,48.6189756,42.8541308,20527
403110,Урюпинск,50.7904767,42.0288589,41594
403530,Фролово,49.7647809,43.6648936,39489
162480,Бабаево,59.389309,35.9378318,12074
161200,Белозерск,60.0307914,37.7891123,9614
162390,Великий Устюг,60.7603243,46.3053893,31664
160000,Вологда,59.2484186,39.8356461,301642
162900,Вытегра,61.0064157,36.4495835,10490
162000,Грязовец,58.8757657,40.248477,15528
162107,Кадников,59.5037947,40.3440473,4797
161100,Кириллов,59.8590353,38.3749854,7735
162341,Красавино,60.9613991,46.481465,7003
161440,Никольск,59.5350162,45.4575468,8515
162129,Сокол,59.4759156,40.1114414,38454
161300,Тотьма,59.9735051,42.7589701,9784
162840,Устюжна,58.8383671,36.4425046,9478
162250,Харовск,59.9477728,40.2000794,10078
162600,Череповец,59.1269214,37.9092243,312311
397700,Бобров,51.0902048,40.0320014,19738
396790,Богучар,49.9352997,40.5592467,11811
397160,Борисоглебск,51.3654619,42.100947,65585
397500,Бутурлиновка,50.8313227,40.5977541,27208
394000,Воронеж,51.6592378,39.1968284,889680
397600,Калач,50.4241213,41.0162858,20046
397900,Лиски,50.9944734,39.518302,55864
396070,Нововоронеж,51.3092463,39.2162865,32635
397400,Новохоперск,51.0953461,41.6173714,6849
397837,Острогожск,50.8678083,39.0406398,33842
396420,Павловск,50.4533684,40.1369087,25126
397350,Поворино,51.1953446,42.2472432,17692
396650,Россошь,50.170089,39.6225534,62865
396900,Семилуки,51.6951846,39.0189797,26025
397030,Эртиль,51.831024,40.8074054,11387
368220,Буйнакск,42.8213799,47.1164452,65735
368670,Дагестанские Огни,42.1151021,48.1939983,30671
368000,Дербент,42.058935,48.2908653,119961
368500,Избербаш,42.565098,47.871002,56301
368300,Каспийск,42.8916599,47.6366674,103914
368120,Кизилюрт,43.2039094,46.8729311,36187
368830,Кизляр,43.8483915,46.7232828,49169
367000,Махачкала,42.9848572,47.5046303,577990
368000,Хасавюрт,43.2505191,46.5852276,133929
368890,Южно-Сухокумск,44.6600972,45.6499304,10048
679002,Биробиджан,48.7945975,132.9217594,75419
679100,Облучье,49.0188344,131.0539984,9379
673450,Балей,51.5822063,116.6380088,12536
674600,Борзя,50.3875437,116.5235682,31376
674670,Краснокаменск,50.092858,118.0323407,55668
673730,Могоча,53.7362465,119.7661232,13228
673400,Нерчинск,51.9595512,116.5854018,14976
673002,Петровск-Забайкальский,51.2748381,108.8467139,18555
673500,Сретенск,52.2462356,117.7116971,6850
673200,Хилок,51.3635236,110.458989,11530
672000,Чита,52.0340128,113.4994884,323964
673303,Шилка,51.8495302,116.033575,13947
155330,Вичуга,57.2044545,41.9131192,37609
155000,Гаврилов Посад,56.5585967,40.1228288,6434
155410,Заволжск,57.4916546,42.1374455,12045
153000,Иваново,56.9994677,40.9728231,409277
155800,Кинешма,57.4425441,42.1690039,88113
155150,Комсомольск,57.0273907,40.3775952,8693
153510,Кохма,56.9325151,41.0933071,29408
155830,Наволоки,57.4678426,41.9607371,10207
155555,Плес,57.4605304,41.512301,2341
155550,Приволжск,57.3807249,41.2809239,16749
155360,Пучеж,56.982075,43.1683878,8583
155250,Родники,57.1024137,41.7298908,26318
155040,Тейково,56.8542712,40.5355289,34993
155520,Фурманов,57.2538043,41.1053808,36149
155900,Шуя,56.8560743,41.3802455,58528
155630,Южа,56.5926458,42.0457159,14170
155450,Юрьевец,57.3178701,43.1110553,10205
386230,Карабулак,43.3054762,44.9094521,31081
386001,Магас,43.1686967,44.8130849,2505
386300,Малгобек,43.5097009,44.5901517,31076
386100,Назрань,43.2257977,44.764685,93357
665160,Алзамай,55.5550493,98.6644106,6751
665800,Ангарск,52.5448102,103.8885385,233765
665930,Байкальск,51.5231282,104.1485752,13589
665050,Бирюсинск,55.9608611,97.8203624,8981
666901,Бодайбо,57.8468822,114.1867148,15331
665700,Братск,56.1513951,101.6339892,246348
665770,Вихоревка,56.1207708,101.170332,22528
665650,Железногорск-Илимский,56.5847382,104.1141747,26134
665382,Зима,53.9206865,102.0492066,32522
664000,Иркутск,52.2863513,104.280655,587225
666700,Киренск,57.7757126,108.1107766,12652
665100,Нижнеудинск,54.8969105,99.0313481,37056
666300,Саянск,54.1107787,102.1802563,40786
665420,Свирск,53.0842576,103.3364192,13649
665902,Слюдянка,51.6562679,103.7186877,18542
665000,Тайшет,55.9405397,98.0030649,35481
665250,Тулун,54.5571409,100.5779402,44603
665450,Усолье-Сибирское,52.7567192,103.6387694,83364
666671,Усть-Илимск,57.9431325,102.7414683,86591
666780,Усть-Кут,56.7928049,105.7756883,45061
665400,Черемхово,53.1369385,103.090119,52650
666031,Шелехов,52.2102462,104.0973531,47960
361500,Баксан,43.6820621,43.5345627,36857
361110,Майский,43.6281779,44.0516663,26755
360000,Нальчик,43.4846312,43.6070316,240095
361330,Нарткала,43.5577208,43.8576411,31679
361040,Прохладный,43.7589521,44.0101936,59595
361200,Терек,43.4838439,44.1402524,19170
361621,Тырныауз,43.3981939,42.9215127,21000
361400,Чегем,43.5672039,43.5865338,17988
238420,Багратионовск,54.3866976,20.6418545,6399
238520,Балтийск,54.6514128,19.9141911,32670
238210,Гвардейск,54.6588981,21.0500584,13888
238300,Гурьевск,54.7705368,20.6039109,12433
238050,Гусев,54.5915477,22.1944114,28260
238326,Зеленоградск,54.9600226,20.4753274,13015
236001,Калининград,54.7073218,20.5072458,431491
238730,Краснознаменск,54.9452612,22.4928511,3522
238460,Ладушкин,54.5693538,20.1691909,3788
238450,Мамоново,54.4645591,19.9454114,7757
238710,Неман,55.0315543,22.0323961,11794
238010,Нестеров,54.6314454,22.5713658,4584
238120,Озерск,54.4084804,22.013508,4740
238590,Пионерский,54.9516927,20.227697,11017
238630,Полесск,54.8626321,21.0998148,7580
238400,Правдинск,54.4430604,21.0083638,4323
238510,Приморск,54.7311185,19.9983108,1956
238560,Светлогорск,54.9439566,20.1514789,10775
238340,Светлый,54.6774051,20.1356625,21380
238600,Славск,55.0451054,21.6742294,4614
238750,Советск,55.0810474,21.8886272,41709
238150,Черняховск,54.6243928,21.7969179,40464
359050,Городовиковск,46.0875351,41.9354039,9565
359220,Лагань,45.3929617,47.3432943,14323
358000,Элиста,46.3082947,44.2701417,103728
249000,Балабаново,55.1773652,36.6567255,26337
249160,Белоусово,55.0957679,36.6777239,8432
249010,Боровск,55.2130965,36.4927446,12283
249026,Ермолино,55.1972714,36.5951966,10409
249340,Жиздра,53.7522384,34.7386719,5585
249190,Жуков,55.0301386,36.7393279,12150
248000,Калуга,54.5060439,36.2515933,325185
249440,Киров,54.0790823,34.3077508,31888
249720,Козельск,54.0348417,35.7807136,18203
249830,Кондрово,54.796051,35.9276099,16672
249185,Кременки,54.8863306,37.116878,11617
249400,Людиново,53.8701406,34.4385498,40550
249091,Малоярославец,55.0176756,36.4632122,30401
249950,Медынь,54.9690755,35.887313,8298
249240,Мещовск,54.3191127,35.2816065,4101
249930,Мосальск,54.4825589,34.987206,4285
249030,Обнинск,55.0943892,36.6121785,104798
249710,Сосенский,54.056525,35.9621458,12394
249610,Спас-Деменск,54.4099201,34.0190263,4904
249270,Сухиничи,54.0973787,35.3443077,16295
249100,Таруса,54.7236791,37.1670866,9656
249910,Юхнов,54.7445873,35.2424857,7056
684090,Вилючинск,52.930428,158.4057276,22905
684000,Елизово,53.1829573,158.3882833,39548
683000,Петропавловск-Камчатский,53.0370213,158.6559142,179526
369200,Карачаевск,43.773197,41.9143726,23848
369210,Теберда,43.4438408,41.7414924,9097
369300,Усть-Джегута,44.083852,41.971128,30602
369000,Черкесск,44.2268637,42.0467829,121439
186500,Беломорск,64.5378468,34.7799717,11217
186610,Кемь,64.9543657,34.5948547,13061
186220,Кондопога,62.2059866,34.2681778,32978
186930,Костомукша,64.5889946,30.6015567,28433
186730,Лахденпохья,61.5189466,30.199592,7818
186350,Медвежьегорск,62.9127678,34.4567614,15536
186000,Олонец,60.9793604,32.9726031,9060
185000,Петрозаводск,61.78909,34.3596263,263540
186810,Питкяранта,61.5756886,31.4641309,11484
186150,Пудож,61.8059147,36.5330088,9698
186420,Сегежа,63.7437211,34.3126755,29660
186790,Сортавала,61.7032216,30.6917021,19215
186870,Суоярви,62.0787769,32.3499029,9763
652470,Анжеро-Судженск,56.0787179,86.0202207,76669
652600,Белово,54.4221442,86.3036438,76752
652420,Березовский,55.6692853,86.2744636,47292
652780,Гурьевск,54.2860005,85.947723,24816
652740,Калтан,53.5210461,87.2772143,21893
650000,Кемерово,55.3909721,86.0467864,532884
652700,Киселевск,54.0060382,86.6367387,98382
652500,Ленинск-Кузнецкий,54.6674092,86.1796724,101666
652150,Мариинск,56.2127836,87.7454392,40522
652870,Междуреченск,53.6865695,88.0703888,101995
652840,Мыски,53.7125516,87.8056657,43029
654000,Новокузнецк,53.7942757,87.2144046,547885
652800,Осинники,53.5987397,87.3369948,45997
652560,Полысаево,54.6053968,86.2808803,27624
652701,Прокопьевск,53.8604562,86.7183428,210150
652770,Салаир,54.2351588,85.8029215,8263
652400,Тайга,56.0622767,85.6207907,25330
652990,Таштагол,52.7594505,87.8477272,23114
652300,Топки,55.2766036,85.6153223,28642
652050,Юрга,55.7202689,84.8885516,81536
613200,Белая Холуница,58.8415212,50.8461002,11232
612960,Вятские Поляны,56.2286058,51.0614666,35159
612410,Зуевка,58.4031674,51.1330787,11198
610000,Киров,58.6035313,49.6679219,473668
613040,Кирово-Чепецк,58.5559921,50.0317608,80920
612820,Кирс,59.3400586,52.2415895,10420
612600,Котельнич,58.3035238,48.3474288,24979
613980,Луза,60.6290781,47.2612069,11262
612920,Малмыж,56.5243722,50.6782757,8265
613710,Мураши,59.3956347,48.9637651,6752
613440,Нолинск,57.5596946,49.9357867,9556
612740,Омутнинск,58.6697684,52.1893554,23618
612270,Орлов,58.5389402,48.8929268,6959
613150,Слободской,58.7311934,50.1670091,33983
613341,Советск,57.5841434,48.9589228,16592
612990,Сосновка,56.2533149,51.2833412,11960
613530,Уржум,57.1097612,50.0056278,10213
612260,Яранск,57.304195,47.8479185,17252
169900,Воркута,67.4973484,64.0611045,70551
169570,Вуктыл,63.8615209,57.3165207,12357
169200,Емва,62.5965314,50.8731889,14574
169840,Инта,66.0368196,60.1154612,32021
169060,Микунь,62.3580188,50.0719738,10732
169600,Печора,65.1485717,57.22388,43458
169500,Сосногорск,63.5990137,53.8762792,27809
167000,Сыктывкар,61.668789,50.8356491,235006
169710,Усинск,65.9941116,57.5570054,41100
169300,Ухта,63.5564779,53.7014202,99642
157000,Буй,58.473445,41.5306746,25763
156901,Волгореченск,57.4423712,41.1593076,17108
157200,Галич,58.3826861,42.3654563,17346
157440,Кологрив,58.826988,44.3185323,3314
156000,Кострома,57.8029445,40.9907282,268617
157460,Макарьев,57.8808916,43.8014428,7114
157300,Мантурово,58.3264667,44.7575036,17479
157800,Нерехта,57.4543706,40.5725438,22817
157331,Нея,58.2944499,43.8780965,9827
157170,Солигалич,59.0786729,42.2877245,6438
157130,Чухлома,58.7534246,42.6883783,5209
157500,Шарья,58.3761832,45.4060762,23668
353320,Абинск,44.8679931,38.1618437,34926
353440,Анапа,44.8950777,37.3163142,58983
352690,Апшеронск,44.4585239,39.7300092,40229
352900,Армавир,45.0010338,41.132392,188897
352630,Белореченск,44.7652733,39.8780457,53891
353460,Геленджик,44.5631053,38.0790184,54813
353280,Горячий Ключ,44.6343251,39.1356421,30093
352190,Гулькевичи,45.3605769,40.6918484,35225
353680,Ейск,46.7114611,38.2764915,87771
353180,Кореновск,45.4640868,39.4590178,41179
350000,Краснодар,45.040235,38.9760801,744933
352380,Кропоткин,45.4332464,40.5727852,80743
353380,Крымск,44.9344108,37.9855314,57370
352430,Курганинск,44.8876442,40.5913858,47974
352500,Лабинск,44.6353153,40.724385,62822
352240,Новокубанск,45.1038782,41.0473679,34847
353900,Новороссийск,44.7234264,37.7687218,241788
353860,Приморско-Ахтарск,46.0515,38.1704654,32253
353560,Славянск-на-Кубани,45.2605079,38.1260725,63768
354000,Сочи,43.5855829,39.7231419,343285
353500,Темрюк,45.2611082,37.445519,38014
352700,Тимашевск,45.6159358,38.9350513,53921
352120,Тихорецк,45.8546953,40.1258702,61825
352800,Туапсе,44.1103707,39.082645,63233
352330,Усть-Лабинск,45.222676,39.6930239,43268
352680,Хадыженск,44.412303,39.5319151,21580
662951,Артемовск,54.3472901,93.4356543,2180
662150,Ачинск,56.2538662,90.47949,109156
662060,Боготол,56.209881,89.5300182,21029
663980,Бородино,55.9054308,94.9021138,17423
663081,Дивногорск,55.9577868,92.380085,28271
647000,Дудинка,69.4031339,86.1908135,22207
663150,Енисейск,58.4485234,92.165237,18769
662970,Железногорск,56.2529346,93.532167,85559
663960,Заозерный,55.9617268,94.7091037,10683
663690,Зеленогорск,56.1133001,94.5888736,66018
663200,Игарка,67.4667947,86.5814287,6183
663800,Иланский,56.2374163,96.0672656,16108
663600,Канск,56.2049776,95.7051246,94230
663491,Кодинск,58.6033961,99.1797563,14835
660000,Красноярск,56.009466,92.8524162,973826
662541,Лесосибирск,58.2218201,92.5036986,61146
662600,Минусинск,53.7105509,91.6871866,71171
662200,Назарово,56.0113176,90.4167947,52829
663300,Норильск,69.3490828,88.2009965,175301
662500,Сосновоборск,56.1202088,93.3353411,33090
662251,Ужур,55.3141977,89.8333827,16079
663920,Уяр,55.8131698,94.3282148,12666
662310,Шарыпово,55.5389684,89.1801557,38570
298676,Ялта,44.416366,34.04455,8497
298500,Алушта,44.6764419,34.4100387,28642
296012,Армянск,46.1059247,33.6910325,22468
298400,Бахчисарай,44.751388,33.8750341,26363
297600,Белогорск,45.0571581,34.5998775,18199
296100,Джанкой,45.7092436,34.388332,35700
297402,Евпатория,45.1904322,33.3667685,106840
298300,Керчь,45.3561128,36.4674285,144600
296000,Красноперекопск,45.9537956,33.7921523,29564
296500,Саки,45.1342889,33.6032508,23400
295000,Симферополь,44.9482645,34.100117,362366
297345,Старый Крым,45.0290659,35.0900885,9485
298000,Судак,44.8505913,34.9761591,15368
298100,Феодосия,45.031878,35.3824772,69786
298213,Щелкино,45.4289847,35.8251329,11194
298600,Ялта,44.4951948,34.166386,78040
641730,Далматово,56.2621393,62.9387378,13913
641700,Катайск,56.2908118,62.5800669,14017
640002,Курган,55.4443448,65.3161339,333640
641430,Куртамыш,54.9368491,64.4203009,17098
641600,Макушино,55.2154025,67.2452558,8337
641640,Петухово,55.0649932,67.8874369,11291
641870,Шадринск,56.0870152,63.6298234,77744
641100,Шумиха,55.2281833,63.2902391,17821
641010,Щучье,55.20883,62.7478475,10971
307500,Дмитриев,52.1269291,35.0739504,7721
307170,Железногорск,52.3378753,35.3516834,95057
305000,Курск,51.7303391,36.1926448,414595
307250,Курчатов,51.6605475,35.6571711,42691
307750,Льгов,51.6596935,35.2611592,21452
306230,Обоянь,51.212012,36.275425,13562
307370,Рыльск,51.568165,34.6802178,15667
307800,Суджа,51.1919711,35.2719619,6036
307100,Фатеж,52.0918591,35.8538912,5404
306509,Щигры,51.8787808,36.8910674,17043
187650,Бокситогорск,59.4735032,33.8456521,16593
188410,Волосово,59.4445107,29.492277,12162
187401,Волхов,59.9006057,32.35212,47344
188640,Всеволожск,60.0190094,30.6455834,59689
188800,Выборг,60.7130748,28.7328813,80013
188909,Высоцк,60.6296511,28.5709914,1244
188300,Гатчина,59.5650861,30.1281859,92566
188490,Ивангород,59.3765845,28.2230504,9797
188950,Каменногорск,60.9508768,29.1308061,6761
188456,Кингисепп,59.3739407,28.6112981,48667
187110,Кириши,59.4742626,32.0625536,52826
187340,Кировск,59.875371,30.9815205,25633
188320,Коммунар,59.6215929,30.393466,20265
187700,Лодейное Поле,60.7320564,33.5522225,21053
188230,Луга,58.7373818,29.8466657,36409
187050,Любань,59.3492573,31.2485276,4188
187026,Никольское,59.7042633,30.7874879,19345
187450,Новая Ладога,60.1100013,32.3141446,8890
187330,Отрадное,59.772596,30.7988403,23874
187600,Пикалево,59.5130655,34.1773982,21567
187780,Подпорожье,60.9127463,34.1567832,18729
188910,Приморск,60.3660787,28.6135962,6122
188760,Приозерск,61.03313,30.15876,18929
188990,Светогорск,61.1112679,28.8726666,15973
188650,Сертолово,60.14458,30.2094595,47854
188560,Сланцы,59.1178693,28.088106,33587
188540,Сосновый Бор,59.8772921,29.1290866,65901
187420,Сясьстрой,60.1402454,32.5602015,13747
187550,Тихвин,59.6273809,33.5072307,58843
187000,Тосно,59.5406697,30.8777872,39127
187320,Шлиссельбург,59.9443923,31.0334136,13305
399050,Грязи,52.4873931,39.9331785,46798
399850,Данков,53.25769,39.1457625,21056
399770,Елец,52.6151738,38.5289121,108404
399200,Задонск,52.4004611,38.9205772,9695
399610,Лебедянь,53.0156678,39.143498,20991
398000,Липецк,52.6103027,39.5946266,508124
399341,Усмань,52.0444165,39.7264516,18752
399900,Чаплыгин,53.2404794,39.9671563,12656
685000,Магадан,59.5681763,150.8085289,95925
686314,Сусуман,62.7804628,148.154033,5865
425000,Волжск,55.8622987,48.371553,55671
425060,Звенигово,55.9739374,48.0170276,11945
424000,Йошкар-Ола,56.6343763,47.8998445,248688
425350,Козьмодемьянск,56.333346,46.5466282,21262
431860,Ардатов,54.8465693,46.2412736,9400
431430,Инсар,53.8770384,44.3696866,8687
431350,Ковылкино,54.0391464,43.9191229,21307
431260,Краснослободск,54.4248634,43.7845096,10151
431440,Рузаевка,54.0583238,44.949116,47529
430000,Саранск,54.1807601,45.1862263,297425
431220,Темников,54.6309086,43.2161785,7247
101000,Москва,55.7538789,37.6203735,11514330
143360,Апрелевка,55.5276336,37.0651105,18467
143900,Балашиха,55.7963352,37.9381413,215353
140170,Бронницы,55.4255534,38.2640794,21102
143330,Верея,55.3674668,36.1563083,5368
142700,Видное,55.5518323,37.7062062,56798
143600,Волоколамск,56.0358121,35.9585027,23386
140200,Воскресенск,55.3071305,38.7026949,91301
141650,Высоковск,56.336141,36.5251316,10642
143040,Голицыно,55.6189762,36.9855559,17447
143530,Дедовск,55.8704718,37.1244724,29280
140090,Дзержинский,55.6241079,37.8440691,47125
141800,Дмитров,56.3477176,37.5267184,61454
141700,Долгопрудный,55.9384901,37.5100527,90976
102321,Домодедово,55.4363901,37.7666263,96123
142660,Дрезна,55.7442991,38.8499228,11815
